wl	W
661.297	13160.39222
661.711	12942.98222
662.126	12744.29667
662.54	12515.96444
662.955	12319.09889
663.369	12108.19111
663.784	11856.97333
664.198	11655.16778
664.612	11482.74778
665.026	11313.45
665.44	11137.65
665.854	10947.54556
666.268	10777.98778
666.682	10598.54667
667.096	10415.98444
667.51	10258.90889
667.924	10077.64667
668.337	9914.85
668.751	9729.946667
669.164	9575.731111
669.578	9422.816667
669.991	9246.495556
670.405	9100.082222
670.818	8957.31
671.231	8779.688889
671.645	8644.458889
672.058	8509.487778
672.471	8403.644444
672.884	8263.212222
673.297	8136.043333
673.71	8012.255556
674.123	7910.052222
674.536	7791.465556
674.948	7698.364444
675.361	7587.318889
675.774	7474.453333
676.186	7345.203333
676.599	7225.576667
677.011	7125.973333
677.424	7044.834444
677.836	6901.542222
678.248	6803.238889
678.661	6690.373333
679.073	6575.686667
679.485	6475.823333
679.897	6409.507778
680.309	6328.108889
680.721	6237.348889
681.133	6127.603333
681.545	6061.547778
681.957	5966.886667
682.368	5895.11
682.78	5821.513333
683.192	5741.155556
683.603	5647.794444
684.015	5561.974444
684.426	5481.355556
684.837	5410.1
685.249	5332.862222
685.66	5256.144444
686.071	5186.708889
686.482	5116.753333
686.893	5044.196667
687.304	4979.962222
687.715	4892.062222
688.126	4813.524444
688.537	4757.871111
688.948	4687.395556
689.359	4614.578889
689.769	4537.861111
690.18	4474.145556
690.591	4401.068889
691.001	4346.196667
691.411	4314.47
691.822	4263.757778
692.232	4213.046667
692.642	4147.251111
693.053	4101.741111
693.463	4063.512222
693.873	4009.16
694.283	3978.732222
694.693	3916.057778
695.103	3857.543333
695.513	3796.69
695.922	3728.554444
696.332	3678.623333
696.742	3627.391111
697.151	3569.917778
697.561	3512.444444
697.97	3455.492222
698.38	3401.92
698.789	3366.292222
699.199	3327.803333
699.608	3283.853333
700.017	3234.962222
700.426	3208.696667
700.835	3187.892222
701.244	3152.524444
701.653	3105.453333
702.062	3070.084444
702.471	3021.713333
702.88	2978.543333
703.289	2941.614444
703.697	2900.524444
704.106	2851.112222
704.514	2791.558889
704.923	2755.931111
705.331	2709.9
705.74	2670.111111
706.148	2631.362222
706.556	2600.935556
706.965	2561.926667
707.373	2543.463333
707.781	2515.897778
708.189	2486.511111
708.597	2461.805556
709.005	2440.741111
709.413	2411.874444
709.82	2378.846667
710.228	2353.881111
710.636	2329.955556
711.043	2286.265556
711.451	2238.934444
711.858	2215.788889
712.266	2171.578889
712.673	2142.452222
713.081	2110.205556
713.488	2076.137778
713.895	2038.948889
714.302	2003.321111
714.709	1984.076667
715.116	1962.752222
715.523	1925.303333
715.93	1906.838889
716.337	1880.833333
716.744	1862.888889
717.15	1843.384444
717.557	1818.938889
