wl	RGBW
646.333	11461.39333
646.75	11216.41778
647.166	10943.61556
647.583	10694.47778
647.999	10442.22
648.416	10201.40444
648.832	9966.051111
649.249	9724.975556
649.665	9532.271111
650.081	9349.968889
650.497	9142.181111
650.913	8992.126667
651.329	8821.527778
651.745	8673.033333
652.161	8539.103333
652.577	8420.255556
652.993	8290.225556
653.409	8128.468889
653.824	7986.736667
654.24	7870.49
654.655	7738.378889
655.071	7618.752222
655.486	7456.215556
655.902	7304.861111
656.317	7185.754444
656.732	7084.331111
657.148	7000.071111
657.563	6896.306667
657.978	6773.298889
658.393	6662.774444
658.808	6548.607778
659.223	6448.744444
659.638	6354.602222
660.053	6246.937778
660.467	6142.134444
660.882	6028.748889
661.297	5954.372222
661.711	5867.252222
662.126	5772.85
662.54	5686.25
662.955	5607.192222
663.369	5524.233333
663.784	5422.81
664.198	5327.367778
664.612	5242.588889
665.026	5150.527778
665.44	5057.426667
665.854	4971.347778
666.268	4896.971111
666.682	4818.172222
667.096	4735.213333
667.51	4669.417778
667.924	4608.044444
668.337	4537.047778
668.751	4449.407778
669.164	4376.851111
669.578	4310.535556
669.991	4251.762222
670.405	4191.428889
670.818	4139.937778
671.231	4085.065556
671.645	4013.548889
672.058	3945.153333
672.471	3889.501111
672.884	3837.228889
673.297	3779.235556
673.71	3704.077778
674.123	3652.065556
674.536	3590.431111
674.948	3540.238889
675.361	3480.945556
675.774	3424.512222
676.186	3386.543333
676.599	3341.553333
677.011	3293.962222
677.424	3249.752222
677.836	3185.777778
678.248	3145.468889
678.661	3097.098889
679.073	3070.832222
679.485	3034.164444
679.897	2990.734444
680.309	2954.585556
680.721	2917.917778
681.133	2888.011111
681.545	2850.822222
681.957	2825.855556
682.368	2802.97
682.78	2761.101111
683.192	2729.113333
683.603	2682.822222
684.015	2644.333333
684.426	2614.165556
684.837	2572.035556
685.249	2538.488889
685.66	2499.22
686.071	2453.968889
686.482	2415.48
686.893	2393.375556
687.304	2368.41
687.715	2341.364444
688.126	2306.776667
688.537	2281.811111
688.948	2262.826667
689.359	2226.938889
689.769	2205.094444
690.18	2202.493333
690.591	2169.205556
691.001	2145.54
691.411	2126.035556
691.822	2097.948889
692.232	2091.447778
692.642	2061.801111
693.053	2037.615556
693.463	2012.91
693.873	1977.542222
694.283	1951.275556
694.693	1919.288889
695.103	1884.961111
695.513	1868.577778
695.922	1833.73
696.332	1812.404444
